Rxn name	Formula	Gene-reaction association	LB	UB	Objective
AMID	4gudbd_c + h2o_c  -> 4gudbutn_c + nh4_c 	YMR293C or YDR242W	  0.00	999999.00	  0.00
AMID2	h2o_c + pad_c  -> nh4_c + pac_c 	YDR242W	  0.00	999999.00	  0.00
AMID3	iad_c + h2o_c  -> ind3ac_c + nh4_c 	YDR242W	  0.00	999999.00	  0.00
ADSL2r	25aics_c  <=> aicar_c + fum_c 	YLR359W	-999999.00	999999.00	  0.00
ADSS	asp__L_c + gtp_c + imp_c  -> dcamp_c + gdp_c + 2 h_c + pi_c 	YNL220W	  0.00	999999.00	  0.00
AMPN	amp_c + h2o_c  -> ade_c + r5p_c 	YML035C or YBR284W or YJL070C	  0.00	999999.00	  0.00
AMPDA	amp_c + h2o_c + h_c  -> imp_c + nh4_c 	YML035C	  0.00	999999.00	  0.00
3DH5HPBtm	3dh5hpb_c  <=> 3dh5hpb_m 		-999999.00	999999.00	  0.00
AMPtn	amp_n  <=> amp_c 		-999999.00	999999.00	  0.00
ANPRT	anth_c + prpp_c  -> ppi_c + pran_c 	YDR354W	  0.00	999999.00	  0.00
ATPS3v	adp_v + 3 h_c + pi_v  -> atp_v + h2o_v + 2 h_v 	YBR127C and YDL185W and YEL027W and YEL051W and YGR020C and YHR026W and YHR039C_A and YKL080W and YLR447C and YOR270C and YOR332W and YPL234C and YPR036W	  0.00	999999.00	  0.00
3DSPHR	3dsphgn_c + h_c + nadph_c  -> nadp_c + sphgn_c 	YBR265W	  0.00	999999.00	  0.00
ATPtm_H	adp_c + atp_m + h_c  -> adp_m + atp_c + h_m 	YBR085W or YBL030C or YMR056C	  0.00	999999.00	  0.00
ATPtp_H	adp_x + atp_c + h_x  -> adp_c + atp_x + h_c 	YPR128C	  0.00	999999.00	  0.00
ANS	chor_c + gln__L_c  -> anth_c + glu__L_c + h_c + pyr_c 	YER090W and YKL211C	  0.00	999999.00	  0.00
AOBUTDs	2aobut_c + h_c  -> aact_c + co2_c 		  0.00	999999.00	  0.00
AP4AH	ap4a_c + h2o_c  <=> 2 adp_c + 2 h_c 	YDR305C	-999999.00	999999.00	  0.00
APRTO2	aprut_c + h2o_c + o2_c  -> h2o2_c + n4abutn_c + nh4_c 		  0.00	999999.00	  0.00
ARAB14LO	Dara14lac_c + o2_c  <=> ertascb__D_c + h2o2_c 	YML086C	-999999.00	999999.00	  0.00
BACCL	btn_c + atp_c + h_c  -> btamp_c + ppi_c 	YDL141W	  0.00	999999.00	  0.00
3HAO	3hanthrn_c + o2_c  -> cmusa_c + h_c 	YJR025C	  0.00	999999.00	  0.00
ARAB1D2	arab__D_c + nadp_c  -> Dara14lac_c + h_c + nadph_c 	YBR149W	  0.00	999999.00	  0.00
ARABR	arab__L_c + h_c + nadph_c  -> abt_c + nadp_c 	YHR104W	  0.00	999999.00	  0.00
3HPH5MBDCm	3hph5mb_m  -> 2hp6mp_m + co2_m 		  0.00	999999.00	  0.00
ARAB_Dt	arab__D_e  <=> arab__D_c 		-999999.00	999999.00	  0.00
ARAB_Lt	arab__L_e  <=> arab__L_c 		-999999.00	999999.00	  0.00
ARGN	arg__L_c + h2o_c  -> orn_c + urea_c 	YPL111W	  0.00	999999.00	  0.00
BPNT	h2o_c + pap_c  -> amp_c + pi_c 	YOL064C	  0.00	999999.00	  0.00
BTDD_RR	btd_RR_c + nad_c  <=> actn__R_c + h_c + nadh_c 	YAL060W	-999999.00	999999.00	  0.00
BTDt_RR	btd_RR_c  <=> btd_RR_e 		-999999.00	999999.00	  0.00
3IPM3MT	3c2hmp_c + amet_c  -> 3ipmmest_c + ahcys_c 	YER175C	  0.00	999999.00	  0.00
BTNt2i	btn_e + h_e  -> btn_c + h_c 	YGR065C	  0.00	999999.00	  0.00
BTSr	dtbt_c + s_c  <=> btn_c + 2 h_c 	YGR286C	-999999.00	999999.00	  0.00
C14STR	44mctr_c + h_c + nadph_c  -> 44mzym_c + nadp_c 	YNL280C	  0.00	999999.00	  0.00
C22STDS	ergtrol_c + h_c + nadph_c + o2_c  -> ergtetrol_c + 2 h2o_c + nadp_c 	YMR015C and YHR042W	  0.00	999999.00	  0.00
